SequenceID	ClusterID
seq_11365	3470
seq_11366	3720
seq_11367	1796
seq_11368	1310
seq_11369	3441
seq_1137	866
seq_11370	3164
seq_11371	3000
seq_11372	3724
seq_11373	742
seq_11374	5022
seq_11375	33
seq_11376	1450
seq_11377	5138
seq_11378	1710
seq_11379	3001
seq_1138	867
seq_11380	3730
seq_11381	5139
seq_11382	3506
seq_11383	5140
seq_11384	147
seq_11385	5141
seq_11386	1870
seq_11387	1452
seq_11388	5142
seq_11389	1872
seq_1139	868
seq_11390	5143
seq_11391	3750
seq_11392	5144
seq_11393	1343
seq_11394	1752
seq_11395	3605
seq_11396	5145
seq_11397	2566
seq_11398	3173
seq_11399	4132
seq_114	74
seq_1140	869
seq_11400	4133
seq_11401	3636
seq_11402	5146
seq_11403	5147
seq_11404	5148
seq_11405	562
seq_11406	3754
seq_11407	3762
seq_11408	3762
seq_11409	5149
seq_1141	870
seq_11410	5150
seq_11411	3128
seq_11412	5151
seq_11413	2567
seq_11414	2569
seq_11415	577
seq_11416	577
seq_11417	5152
seq_11418	70
seq_11419	271
seq_1142	150
seq_11420	271
seq_11421	2571
seq_11422	744
seq_11423	3644
seq_11424	5153
seq_11425	5154
seq_11426	3637
seq_11427	5155
seq_11428	1831
seq_11429	1886
seq_1143	871
seq_11430	5156
seq_11431	5156
seq_11432	3005
